"Ich gehöre zu denjenigen, die in der Friedensbewegung aktiv sind, und mir fällt es als Mitglied von Amnesty International nicht leicht anzuerkennen, dass Waffenlieferungen in bestimmten Situationen notwendig sein können, um einen Despoten davon abzuhalten, gewaltiges Leid über die Menschen zu bringen. </s> Bittere Erkenntnisse   aus einem heißen Krieg   Ich möchte Pitt von Bebenburg herzlich für seine auch für mich schwer zu ertragende Positionsbestimmung in Zeiten eines heißen Krieges mitten in Europa danken. Denn auch ich bin hin- und hergerissen zwischen meiner Ablehnung von Waffen zur Lösung von Konflikten und den offensichtlich durch die Aggression Putins notwendig gewordenen Verteidigungsanstrengungen des Westens. </s> Die harte Realität des von Putin angezettelten Krieges belehrt uns, die wir immer wieder gegen bewaffnete Auseinandersetzungen auf die Straße gehen und Anfang der Achtzigerjahre des vergangenen Jahrhunderts gegen die Aufrüstung in Ost und West demonstrierten, dass in bestimmten Situationen Demokratie und Freiheit auch mit Waffen verteidigt werden müssen. Wer miteinander redet, der schießt nicht aufeinander, und deshalb muss es Ziel aller Friedensbemühungen sein, Gesprächsfäden, so weit es sie noch gibt, nicht abreißen zu lassen.",argumentfor
"Sie verteidigte die Lieferung von Waffen an die Ukraine, denn: ""Auch durch Nichtstun kann man Schuld auf sich laden"". </s> ""Wir wissen: Putin spricht nicht für Russland und nicht für alle Russinnen und Russen"", sagte Losse-Müller. Die SPD-Landesvorsitzende Serpil Midyatli sagte: ""Wir stehen fest an der Seite der Ukrainerinnen und Ukrainer. </s> "" Es gehe darum, das Töten schnellstmöglich zu beenden. ""Krieg bringt ausschließlich Leid über die Menschen"", sagte sie.",argumentfor
"""Und diese müssen fortgeführt werden, solange sich die Ukrainer gegen die Invasoren verteidigen müssen!"" </s> Wir hätten mehr tun müssen"", sagte er. Deshalb unterstütze die CDU die deutschen Waffenlieferungen. </s> ""Wir bewundern ihren Mut, sich gegen den Krieg zu stellen! Wir sind solidarisch mit desertierenden russischen Soldaten, die ihre Waffen niederlegen und diesen Krieg ablehnen"", sagte sie. Waffen würden den Konflikt nicht lösen.",argumentfor
"Dass westliche Waffenlieferungen, anfangs Panzerfäuste, nun verstärkt Raketenwerfer, die ukrainische Verteidigungskraft erheblich gestärkt haben und Kiew nun auch Schläge gegen russische Munitionsdepots, Nachschublinien und Kommandozentralen hinter der Front ermöglichen, blendete Orbán aus. </s> ""Natürlich nehmen wir zur Kenntnis, dass Ungarn nicht in der Lage ist, eine komplette westliche Strategie zu ändern. Signalisieren möchten wir unseren westlichen Freunden gegenüber jedoch, dass ohne eine Änderung der Strategie kein Friede kommen wird. </s> Er warnte dagegen vor einer ""Kriegswirtschaft"" in Europa, wenn es nicht bald Frieden gebe. Was für ein Frieden das sein solle, wie er zu erreichen und zu welchen Bedingungen er derzeit geschlossen werden könne, verriet er nicht.",argumentfor
"Es ist unser Recht, die Ukraine zu unterstützen. </s> Im russischen Fernsehen wurde kürzlich darauf hingewiesen, dass Russland Berlin innerhalb von zwei Minuten vernichten könnte. Ist das ernst gemeint, oder ist das nur ein Bluff, damit der Westen die Unterstützung für die Ukraine einstellt. </s> Die Ukraine ist ein souveränes Land, und laut UN-Charta hat jedes souveräne Land das Recht auf Selbstverteidigung. Wir helfen der Ukraine, dieses Recht durchzusetzen.",argumentfor
"Auf lange Sicht kann die Ukraine ihre Verteidigung nicht nur mit Waffen, die noch aus der Ära der Sowjetunion stammen, durchführen, sondern sie muss zu modernen westlichen Waffen übergehen. </s> Muss der Westen dauerhaft Waffen in die Ukraine schicken. Wir müssen leider auf einen langen Krieg in der Ukraine vorbereitet sein, der Monate oder gar Jahre dauern kann. </s> Nur so kann Kiew die russische Invasion dauerhaft erfolgreich abwehren. Die Ukraine benötigt dringend weitere schwere Waffen, der Westen sollte seine Lieferungen intensivieren, noch mehr tun und sich auf ein langfristiges Engagement vorbereiten.",argumentfor
"In dieser Situation ist es unsere Pflicht, die Ukraine nach Kräften zu unterstützen bei der Verteidigung gegen die Invasionsarmee von Wladimir Putin. </s> Bundeskanzler Olaf Scholz (SPD) teilte mit: ""Der russische Überfall auf die Ukraine markiert eine Zeitenwende. Er bedroht unsere gesamte Nachkriegsordnung. </s> Deutschland steht eng an der Seite der Ukraine. ""Der ukrainische Präsident Wolodymyr Selenskyj zeigtesich erfreut über die angekündigte Lieferung deutscher Waffen.",argumentfor
"Schon bevor Bundeskanzler Scholz seine Erklärung abgab, hatten Baerbock und Vizekanzler Robert Habeck (beide Grüne) den Kurswechsel der Bundesregierung erläutert: ""Nach dem schamlosen Angriff Russlands muss sich die Ukraine verteidigen können. </s> Hintervorgehaltener Hand hatte es dort stets geheißen, es sei im Falle eines Krieges sinnlos, einen ohnehin aussichtslosen Kampf mit Waffenlieferungen zu verlängern. Diese Haltung hatte vor Scholz auch schon Bundeskanzlerin Angela Merkel (CDU) viele Jahre lang eingenommen. </s> Sie hat ein unabdingbares Recht auf Selbstverteidigung. ""Noch am Samstagmorgen hatte die Vorsitzende des Verteidigungsausschusses, die FDP-Politikerin Marie-Agnes Strack-Zimmermann, argumentiert, Waffenlieferungen kämen wegen der Materialknappheit der Bundeswehr nicht in Frage.",argumentfor
"Heinrich August Winkler, Deutschlands renommiertester Historiker, erklärt im Gespräch mit dem Handelsblatt, warum Putin so handelt, wie er handelt, warum gerade die deutsche Geschichte ein Argument liefert, die Ukraine militärisch zu stärken - und warum deutsche Sonderwege am Ende vor allem auch Deutschland selbst schaden. </s> Nicht Ökonomen, nicht Militärstrategen und auch nicht die Politologen - es sind die Historiker, die in dieser schwierigen Lage am ehesten Orientierung geben, geschichtliche Analogien aufspüren oder Muster erkennen. </s> Herr Winkler, fast sieben Monate dauert der Krieg in der Ukraine. Ein Krieg, mit dem in Europa niemand gerechnet hat.",argumentfor
"Nur so viel: Mir scheint, dass der Westen nichts anderes tun kann und soll, als die Ukraine so gut wie irgend möglich in die Lage zu versetzen, die russische Aggression abzuwehren. </s> Auch wenn Historiker nicht gerne Prognosen abgeben: Wie geht es weiter in diesem Krieg. Historiker sind in der Tat keine Propheten. </s> Denn wenn Wladimir Putin aus diesem Krieg als Sieger hervorgeht, wird er nicht Schluss machen mit seinen Übergriffen. Im Gegenteil: Er wird sich ermutigt fühlen weiterzumachen.",argumentfor
