measure,label,model,dataset,arch,pvp,nshot,sample,value,time_train,time_test,run,majority
Accuracy,Overall,roberta,ag,ia3,qa,10,1,0.524605263157895,10.557808637619,156.785128355026,1,0.500921052631579
Accuracy,Overall,roberta,ag,ia3,qa,10,1,0.49921052631579,10.4958176612854,153.37913107872,2,0.500921052631579
Accuracy,Overall,roberta,ag,ia3,qa,10,1,0.422236842105263,10.5848758220673,156.249831438065,3,0.500921052631579
Accuracy,Overall,roberta,ag,ia3,qa,10,1,0.548421052631579,10.7986197471619,157.010392427444,4,0.500921052631579
Accuracy,Overall,roberta,ag,ia3,qa,10,1,0.506184210526316,10.5772814750671,157.57167339325,5,0.500921052631579
F1,0,roberta,ag,ia3,qa,10,1,0.706645056726094,10.557808637619,156.785128355026,1,0.692484410895963
F1,0,roberta,ag,ia3,qa,10,1,0.709027996225228,10.4958176612854,153.37913107872,2,0.692484410895963
F1,0,roberta,ag,ia3,qa,10,1,0.505845674201091,10.5848758220673,156.249831438065,3,0.692484410895963
F1,0,roberta,ag,ia3,qa,10,1,0.732014388489209,10.7986197471619,157.010392427444,4,0.692484410895963
F1,0,roberta,ag,ia3,qa,10,1,0.65938566552901,10.5772814750671,157.57167339325,5,0.692484410895963
F1,1,roberta,ag,ia3,qa,10,1,0.662454273362155,10.557808637619,156.785128355026,1,0.599929502996123
F1,1,roberta,ag,ia3,qa,10,1,0.567901234567901,10.4958176612854,153.37913107872,2,0.599929502996123
F1,1,roberta,ag,ia3,qa,10,1,0.506586375611592,10.5848758220673,156.249831438065,3,0.599929502996123
F1,1,roberta,ag,ia3,qa,10,1,0.668018931710615,10.7986197471619,157.010392427444,4,0.599929502996123
F1,1,roberta,ag,ia3,qa,10,1,0.6403242147923,10.5772814750671,157.57167339325,5,0.599929502996123
F1,2,roberta,ag,ia3,qa,10,1,0.0227861211807354,10.557808637619,156.785128355026,1,0.0187402394586153
F1,2,roberta,ag,ia3,qa,10,1,0.00524383848977451,10.4958176612854,153.37913107872,2,0.0187402394586153
F1,2,roberta,ag,ia3,qa,10,1,0,10.5848758220673,156.249831438065,3,0.0187402394586153
F1,2,roberta,ag,ia3,qa,10,1,0.0881488736532811,10.7986197471619,157.010392427444,4,0.0187402394586153
F1,2,roberta,ag,ia3,qa,10,1,0.0625315179021684,10.5772814750671,157.57167339325,5,0.0187402394586153
F1,3,roberta,ag,ia3,qa,10,1,0.523617110213181,10.557808637619,156.785128355026,1,0.509263015551048
F1,3,roberta,ag,ia3,qa,10,1,0.510869565217391,10.4958176612854,153.37913107872,2,0.509263015551048
F1,3,roberta,ag,ia3,qa,10,1,0.467252692831497,10.5848758220673,156.249831438065,3,0.509263015551048
F1,3,roberta,ag,ia3,qa,10,1,0.54458041958042,10.7986197471619,157.010392427444,4,0.509263015551048
F1,3,roberta,ag,ia3,qa,10,1,0.510783510783511,10.5772814750671,157.57167339325,5,0.509263015551048
F1,Overall,roberta,ag,ia3,qa,10,1,0.478875640370541,10.557808637619,156.785128355026,1,0.455104292225437
F1,Overall,roberta,ag,ia3,qa,10,1,0.448260658625074,10.4958176612854,153.37913107872,2,0.455104292225437
F1,Overall,roberta,ag,ia3,qa,10,1,0.369921185661045,10.5848758220673,156.249831438065,3,0.455104292225437
F1,Overall,roberta,ag,ia3,qa,10,1,0.508190653358381,10.7986197471619,157.010392427444,4,0.455104292225437
F1,Overall,roberta,ag,ia3,qa,10,1,0.468256227251747,10.5772814750671,157.57167339325,5,0.455104292225437
Precision,0,roberta,ag,ia3,qa,10,1,0.919831223628692,10.557808637619,156.785128355026,1,0.919790758500436
Precision,0,roberta,ag,ia3,qa,10,1,0.881157154026583,10.4958176612854,153.37913107872,2,0.919790758500436
Precision,0,roberta,ag,ia3,qa,10,1,0.974474474474474,10.5848758220673,156.249831438065,3,0.919790758500436
Precision,0,roberta,ag,ia3,qa,10,1,0.850278551532034,10.7986197471619,157.010392427444,4,0.919790758500436
Precision,0,roberta,ag,ia3,qa,10,1,0.937864077669903,10.5772814750671,157.57167339325,5,0.919790758500436
Precision,1,roberta,ag,ia3,qa,10,1,0.899728997289973,10.557808637619,156.785128355026,1,0.908217716115261
Precision,1,roberta,ag,ia3,qa,10,1,0.915690866510539,10.4958176612854,153.37913107872,2,0.908217716115261
Precision,1,roberta,ag,ia3,qa,10,1,0.889035667107001,10.5848758220673,156.249831438065,3,0.908217716115261
Precision,1,roberta,ag,ia3,qa,10,1,0.933837429111531,10.7986197471619,157.010392427444,4,0.908217716115261
Precision,1,roberta,ag,ia3,qa,10,1,0.893496701225259,10.5772814750671,157.57167339325,5,0.908217716115261
Precision,2,roberta,ag,ia3,qa,10,1,0.709677419354839,10.557808637619,156.785128355026,1,0.857142857142857
