measure,label,model,dataset,arch,pvp,nshot,sample,value,time_train,time_test,run,majority
Accuracy,Overall,roberta,yelp,ia3,qa,10,1,0.34536,7.37815070152283,693.905823469162,1,0.358
Accuracy,Overall,roberta,yelp,ia3,qa,10,1,0.36528,7.35192465782166,694.242094039917,2,0.358
Accuracy,Overall,roberta,yelp,ia3,qa,10,1,0.35054,7.38208794593811,695.594743251801,3,0.358
Accuracy,Overall,roberta,yelp,ia3,qa,10,1,0.34636,7.86056447029114,691.478508472443,4,0.358
Accuracy,Overall,roberta,yelp,ia3,qa,10,1,0.31596,6.9710259437561,689.100501298904,5,0.358
F1,0,roberta,yelp,ia3,qa,10,1,0.361449254483901,7.37815070152283,693.905823469162,1,0.472806067172264
F1,0,roberta,yelp,ia3,qa,10,1,0.465727615287996,7.35192465782166,694.242094039917,2,0.472806067172264
F1,0,roberta,yelp,ia3,qa,10,1,0.474510884541196,7.38208794593811,695.594743251801,3,0.472806067172264
F1,0,roberta,yelp,ia3,qa,10,1,0.468879668049793,7.86056447029114,691.478508472443,4,0.472806067172264
F1,0,roberta,yelp,ia3,qa,10,1,0.403481710004407,6.9710259437561,689.100501298904,5,0.472806067172264
F1,1,roberta,yelp,ia3,qa,10,1,0.316417476081342,7.37815070152283,693.905823469162,1,0.253841945591088
F1,1,roberta,yelp,ia3,qa,10,1,0.28205704019762,7.35192465782166,694.242094039917,2,0.253841945591088
F1,1,roberta,yelp,ia3,qa,10,1,0.12910696193371,7.38208794593811,695.594743251801,3,0.253841945591088
F1,1,roberta,yelp,ia3,qa,10,1,0.151184558776064,7.86056447029114,691.478508472443,4,0.253841945591088
F1,1,roberta,yelp,ia3,qa,10,1,0.262838314897623,6.9710259437561,689.100501298904,5,0.253841945591088
F1,2,roberta,yelp,ia3,qa,10,1,0.331421457471878,7.37815070152283,693.905823469162,1,0.136846066992849
F1,2,roberta,yelp,ia3,qa,10,1,0.16449032610925,7.35192465782166,694.242094039917,2,0.136846066992849
F1,2,roberta,yelp,ia3,qa,10,1,0.126049795615013,7.38208794593811,695.594743251801,3,0.136846066992849
F1,2,roberta,yelp,ia3,qa,10,1,0.0975100401606426,7.86056447029114,691.478508472443,4,0.136846066992849
F1,2,roberta,yelp,ia3,qa,10,1,0.0809942509299966,6.9710259437561,689.100501298904,5,0.136846066992849
F1,3,roberta,yelp,ia3,qa,10,1,0.158035237586759,7.37815070152283,693.905823469162,1,0.191575586393221
F1,3,roberta,yelp,ia3,qa,10,1,0.138831298471934,7.35192465782166,694.242094039917,2,0.191575586393221
F1,3,roberta,yelp,ia3,qa,10,1,0.290162601626016,7.38208794593811,695.594743251801,3,0.191575586393221
F1,3,roberta,yelp,ia3,qa,10,1,0.222924821840811,7.86056447029114,691.478508472443,4,0.191575586393221
F1,3,roberta,yelp,ia3,qa,10,1,0.145547200298303,6.9710259437561,689.100501298904,5,0.191575586393221
F1,4,roberta,yelp,ia3,qa,10,1,0.519926251595518,7.37815070152283,693.905823469162,1,0.544940727419533
F1,4,roberta,yelp,ia3,qa,10,1,0.524344104695156,7.35192465782166,694.242094039917,2,0.544940727419533
F1,4,roberta,yelp,ia3,qa,10,1,0.544886463650766,7.38208794593811,695.594743251801,3,0.544940727419533
F1,4,roberta,yelp,ia3,qa,10,1,0.547140869689295,7.86056447029114,691.478508472443,4,0.544940727419533
F1,4,roberta,yelp,ia3,qa,10,1,0.470811406192632,6.9710259437561,689.100501298904,5,0.544940727419533
F1,Overall,roberta,yelp,ia3,qa,10,1,0.33744993544388,7.37815070152283,693.905823469162,1,0.320002078713791
F1,Overall,roberta,yelp,ia3,qa,10,1,0.315090076952391,7.35192465782166,694.242094039917,2,0.320002078713791
F1,Overall,roberta,yelp,ia3,qa,10,1,0.31294334147334,7.38208794593811,695.594743251801,3,0.320002078713791
F1,Overall,roberta,yelp,ia3,qa,10,1,0.297527991703321,7.86056447029114,691.478508472443,4,0.320002078713791
F1,Overall,roberta,yelp,ia3,qa,10,1,0.272734576464593,6.9710259437561,689.100501298904,5,0.320002078713791
Precision,0,roberta,yelp,ia3,qa,10,1,0.646149884110224,7.37815070152283,693.905823469162,1,0.417208413001912
Precision,0,roberta,yelp,ia3,qa,10,1,0.422307191669379,7.35192465782166,694.242094039917,2,0.417208413001912
Precision,0,roberta,yelp,ia3,qa,10,1,0.391287411543206,7.38208794593811,695.594743251801,3,0.417208413001912
Precision,0,roberta,yelp,ia3,qa,10,1,0.400709219858156,7.86056447029114,691.478508472443,4,0.417208413001912
Precision,0,roberta,yelp,ia3,qa,10,1,0.449214916584887,6.9710259437561,689.100501298904,5,0.417208413001912
Precision,1,roberta,yelp,ia3,qa,10,1,0.248670592944136,7.37815070152283,693.905823469162,1,0.252498268526764
Precision,1,roberta,yelp,ia3,qa,10,1,0.321556579621096,7.35192465782166,694.242094039917,2,0.252498268526764
Precision,1,roberta,yelp,ia3,qa,10,1,0.233630172865375,7.38208794593811,695.594743251801,3,0.252498268526764
Precision,1,roberta,yelp,ia3,qa,10,1,0.213258058641413,7.86056447029114,691.478508472443,4,0.252498268526764
Precision,1,roberta,yelp,ia3,qa,10,1,0.248288128056914,6.9710259437561,689.100501298904,5,0.252498268526764
Precision,2,roberta,yelp,ia3,qa,10,1,0.298374829877512,7.37815070152283,693.905823469162,1,0.276712328767123
Precision,2,roberta,yelp,ia3,qa,10,1,0.259995677544846,7.35192465782166,694.242094039917,2,0.276712328767123
Precision,2,roberta,yelp,ia3,qa,10,1,0.245441389290883,7.38208794593811,695.594743251801,3,0.276712328767123
Precision,2,roberta,yelp,ia3,qa,10,1,0.247755102040816,7.86056447029114,691.478508472443,4,0.276712328767123
Precision,2,roberta,yelp,ia3,qa,10,1,0.262035010940919,6.9710259437561,689.100501298904,5,0.276712328767123
Precision,3,roberta,yelp,ia3,qa,10,1,0.237560192616372,7.37815070152283,693.905823469162,1,0.248170537702832
Precision,3,roberta,yelp,ia3,qa,10,1,0.29904068805822,7.35192465782166,694.242094039917,2,0.248170537702832
Precision,3,roberta,yelp,ia3,qa,10,1,0.244452054794521,7.38208794593811,695.594743251801,3,0.248170537702832
Precision,3,roberta,yelp,ia3,qa,10,1,0.223755792867217,7.86056447029114,691.478508472443,4,0.248170537702832
Precision,3,roberta,yelp,ia3,qa,10,1,0.192250861927434,6.9710259437561,689.100501298904,5,0.248170537702832
Precision,4,roberta,yelp,ia3,qa,10,1,0.493051196987358,7.37815070152283,693.905823469162,1,0.430451672754682
Precision,4,roberta,yelp,ia3,qa,10,1,0.380023374988762,7.35192465782166,694.242094039917,2,0.430451672754682
Precision,4,roberta,yelp,ia3,qa,10,1,0.486560829927696,7.38208794593811,695.594743251801,3,0.430451672754682
Precision,4,roberta,yelp,ia3,qa,10,1,0.4252758831032,7.86056447029114,691.478508472443,4,0.430451672754682
Precision,4,roberta,yelp,ia3,qa,10,1,0.339181802151296,6.9710259437561,689.100501298904,5,0.430451672754682
Recall,0,roberta,yelp,ia3,qa,10,1,0.2509,7.37815070152283,693.905823469162,1,0.5455
Recall,0,roberta,yelp,ia3,qa,10,1,0.5191,7.35192465782166,694.242094039917,2,0.5455
Recall,0,roberta,yelp,ia3,qa,10,1,0.6027,7.38208794593811,695.594743251801,3,0.5455
Recall,0,roberta,yelp,ia3,qa,10,1,0.565,7.86056447029114,691.478508472443,4,0.5455
Recall,0,roberta,yelp,ia3,qa,10,1,0.3662,6.9710259437561,689.100501298904,5,0.5455
Recall,1,roberta,yelp,ia3,qa,10,1,0.4349,7.37815070152283,693.905823469162,1,0.2552
Recall,1,roberta,yelp,ia3,qa,10,1,0.2512,7.35192465782166,694.242094039917,2,0.2552
